Date,AveragePrice,Total Volume,Small Hass,Large Hass,XL Hass,Total Bags,Small Bags,Large Bags,XLarge Bags,Type,Year,Region
27/12/2015,1.33,64236.62,1036.74,54454.85,48.16,8696.87,8603.62,93.25,0,conventional,2015,Albany
20/12/2015,1.35,54876.98,674.28,44638.81,58.33,9505.56,9408.07,97.49,0,conventional,2015,Albany
13/12/2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany
06/12/2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany
29/11/2015,1.28,51039.6,941.48,43838.39,75.78,6183.95,5986.26,197.69,0,conventional,2015,Albany
22/11/2015,1.26,55979.78,1184.27,48067.99,43.61,6683.91,6556.47,127.44,0,conventional,2015,Albany
27/12/2015,0.99,386100.49,292097.36,27350.92,297.9,66354.31,48605.95,17748.36,0,conventional,2015,Atlanta
20/12/2015,1.08,331377.53,251774.15,20702.45,103.06,58797.87,46930.26,11867.61,0,conventional,2015,Atlanta
13/12/2015,0.96,417772.47,324932.28,31019.08,275.8,61545.31,38903.57,22628.21,13.53,conventional,2015,Atlanta
06/12/2015,1.07,357636.82,283024.01,23740.85,181.92,50690.04,37032.67,13654.66,2.71,conventional,2015,Atlanta
29/11/2015,0.99,333280.79,250288.65,28889.63,307.83,53794.68,33031.72,20738.55,24.41,conventional,2015,Atlanta
22/11/2015,1,356414.57,269799.03,29732.3,501.16,56382.08,36992.3,19389.78,0,conventional,2015,Atlanta
27/12/2015,1.17,596819.4,40450.49,394104.02,17353.79,144911.1,142543.88,2367.22,0,conventional,2015,BaltimoreWashington
20/12/2015,1.11,642682.4,44741.37,434590.82,19112.14,144238.07,141751.91,2486.16,0,conventional,2015,BaltimoreWashington
13/12/2015,1.15,619509.33,44400.26,399851.59,24291.2,150966.28,149070.4,1895.88,0,conventional,2015,BaltimoreWashington
06/12/2015,1.04,649141.25,51129.29,453586.5,25760.49,118664.97,117112.77,1552.2,0,conventional,2015,BaltimoreWashington
29/11/2015,1.16,545800.05,41028.15,379156.09,20147.53,105468.28,103615.95,1852.33,0,conventional,2015,BaltimoreWashington
22/11/2015,1.12,572019.8,40867.8,386137.78,23343.49,121670.73,119007.61,2663.12,0,conventional,2015,BaltimoreWashington
27/12/2015,0.97,62909.69,30482.25,2971.94,5894.4,23561.1,23520.19,5.69,35.22,conventional,2015,Boise
20/12/2015,1.03,57504.05,25628.22,2546.09,7393.84,21935.9,21900.35,11.43,24.12,conventional,2015,Boise
13/12/2015,0.99,58461.05,27148.61,2985.73,6458.44,21868.27,21842.87,4.44,20.96,conventional,2015,Boise
06/12/2015,0.71,95295.34,35590.98,12526.5,4086.26,43091.6,42734.53,0,357.07,conventional,2015,Boise
29/11/2015,1.06,49069.13,24189.98,2789.67,6031.49,16057.99,15860.63,0,197.36,conventional,2015,Boise
27/12/2015,1.13,450816.39,3886.27,346964.7,13952.56,86012.86,85913.6,99.26,0,conventional,2015,Boston
20/12/2015,1.07,489802.88,4912.37,390100.99,5887.72,88901.8,88768.47,133.33,0,conventional,2015,Boston
13/12/2015,1.01,549945.76,4641.02,455362.38,219.4,89722.96,89523.38,199.58,0,conventional,2015,Boston
06/12/2015,1.02,488679.31,5126.32,407520.22,142.99,75889.78,75666.22,223.56,0,conventional,2015,Boston
29/11/2015,1.19,350559.81,3609.25,272719.08,105.86,74125.62,73864.52,261.1,0,conventional,2015,Boston
27/12/2015,1.35,96233.08,1367.81,39542.83,85.76,55236.68,55236.68,0,0,conventional,2015,BuffaloRochester
20/12/2015,1.37,90867.51,1164.92,38430.71,106.67,51165.21,51165.21,0,0,conventional,2015,BuffaloRochester
13/12/2015,1.35,98473.23,1421.12,40783.22,66.45,56202.44,56202.44,0,0,conventional,2015,BuffaloRochester
06/12/2015,1.23,108457.82,1737.71,58197.34,167.12,48355.65,48355.65,0,0,conventional,2015,BuffaloRochester
29/11/2015,1.39,79973.14,1514.69,35682.71,113.49,42662.25,42662.25,0,0,conventional,2015,BuffaloRochester
,,,,,,,,,,,,
,,,,,,,,,,,,
https://data.world/makeovermonday/2018w40-avocado-prices,,,,,,,,,,,,
